qDate,qTime,lng,lat,qType,qCityname,Weather,light,RoadtYPE,Location,AccidentType,Ranking
20230729,174600,120.22,23,交叉路口,臺南市東區長榮路3段巷弄號小東路口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230726,223745,120.24,22.99,交叉路口,臺南市東區裕學路段巷弄號裕農路口,雨,1,四岔路,交叉路口內,路口交岔撞,5
20230721,234600,120.22,22.98,交叉路口,臺南市東區榮譽街段123巷弄號崇明七街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230702,133133,120.18,23,交叉路口,臺南市中西區湖美一街段巷弄號湖美一街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230705,104300,120.19,23,一般地址,臺南市中西區西寧街段巷弄46號口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230705,105500,120.2,23,交叉路口,臺南市中西區民族路段巷弄號新美街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230705,140847,120.21,22.99,交叉路口,臺南市中西區東門圓環段巷弄號大同路口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230705,154600,120.2,23,交叉路口,臺南市中西區康樂街段巷弄號忠孝街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230703,145900,120.19,23,交叉路口,臺南市中西區頂美三街段121巷弄號西湖街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230706,2800,120.2,22.99,交叉路口,臺南市中西區忠義路段巷弄號南寧街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230709,75933,120.19,22.99,交叉路口,臺南市中西區南華街段巷弄號武英街口,晴,0,四岔路,交叉路口內,路口交岔撞,5
20230710,15544,120.19,22.99,交叉路口,臺南市中西區大勇街段巷弄號大智街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230709,143100,120.2,23,交叉路口,臺南市中西區忠明街段巷弄號仁愛街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230711,93946,120.19,23,交叉路口,臺南市中西區和善街段巷弄號文和街口,陰,1,四岔路,交叉路口內,路口交岔撞,5
20230712,175513,120.17,23,其他,臺南市中西區民權路4段巷弄號安平路口民權路4段與安北路16巷口,晴,1,三岔路,交叉路口內,路口交岔撞,5
20230713,81700,120.2,23,交叉路口,臺南市中西區民族路二段巷弄號新美街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230713,214500,120.2,23,交叉路口,臺南市中西區民族路三段巷弄號民族路口,晴,1,三岔路,交叉路口內,路口交岔撞,5
20230718,102612,120.2,22.99,其他,臺南市中西區段巷弄號口南門路101號(星辰銀行)旁無名紅磚巷道口,晴,1,三岔路,交叉路口內,路口交岔撞,5
20230713,104000,120.19,23,其他,臺南市中西區段巷弄號口濟生街19號前巷口,晴,1,四岔路,交叉路口內,路口交岔撞,5
